Function,n_intervals,Error
Linear Function (t),10,0.051227353946554866
Linear Function (t),20,0.0519187908230192
Linear Function (t),50,0.052139325939523196
Linear Function (t),100,0.05215989944523636
Linear Function (t),200,0.05216489685307113
Linear Function (t),300,0.05216587818974128
