Function,n_intervals,Error
exp (t),10,1.4756000888580099
exp (t),20,1.8944534805954252
exp (t),50,1.7080097167501025
exp (t),100,1.7071535291584752
exp (t),200,1.7081086645620527
exp (t),500,1.7078572911606162
exp (t),1000,1.7134555330664876
